=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  14,263 artists without images


  [13301/14263] (93.3%) | Deezer: 4544 | MusicBrainz: 0 | Not found: 8757   
  [13351/14263] (93.6%) | Deezer: 4566 | MusicBrainz: 0 | Not found: 8785   
  [13401/14263] (94.0%) | Deezer: 4575 | MusicBrainz: 0 | Not found: 8826   
  [13451/14263] (94.3%) | Deezer: 4590 | MusicBrainz: 0 | Not found: 8861   
  [13501/14263] (94.7%) | Deezer: 4604 | MusicBrainz: 0 | Not found: 8897   
  [13551/14263] (95.0%) | Deezer: 4622 | MusicBrainz: 0 | Not found: 8929   
  [13601/14263] (95.4%) | Deezer: 4642 | MusicBrainz: 0 | Not found: 8959   
  [13651/14263] (95.7%) | Deezer: 4664 | MusicBrainz: 0 | Not found: 8987   
  [13701/14263] (96.1%) | Deezer: 4683 | MusicBrainz: 0 | Not found: 9018   
  [13751/14263] (96.4%) | Deezer: 4699 | MusicBrainz: 0 | Not found: 9052   
  [13801/14263] (96.8%) | Deezer: 4715 | MusicBrainz: 0 | Not found: 9086   
  [13851/14263] (97.1%) | Deezer: 4739 | MusicBrainz: 0 | Not found: 9112   
  [13901/14263] (97.5%) | Deezer: 4752 | MusicBrainz: 0 | Not found: 9149   
  [13951/14263] (97.8%) | Deezer: 4770 | MusicBrainz: 0 | Not found: 9181   
  [14001/14263] (98.2%) | Deezer: 4784 | MusicBrainz: 0 | Not found: 9217   
  [14051/14263] (98.5%) | Deezer: 4794 | MusicBrainz: 0 | Not found: 9257   
  [14101/14263] (98.9%) | Deezer: 4809 | MusicBrainz: 0 | Not found: 9292   
  [14151/14263] (99.2%) | Deezer: 4826 | MusicBrainz: 0 | Not found: 9325   
  [14201/14263] (99.6%) | Deezer: 4846 | MusicBrainz: 0 | Not found: 9355   
  [14251/14263] (99.9%) | Deezer: 4860 | MusicBrainz: 0 | Not found: 9391   
  [14263/14263] (100.0%) | Deezer: 4864 | MusicBrainz: 0 | Not found: 9399   

=== Complete ===
From Deezer      : 4864
From MusicBrainz : 0
Not found        : 9399
Total enriched   : 4864
