
=== Ticketline Scraper — 2026-04-20T17:30:24.105Z ===
  [Marla Kether] @ Glasgow Queen Margaret Union, Glasgow — 2026-04-26
  [Take That - Circus Live - Summer 2026 - Standing] @ Glasgow Hampden Park Stadium, Glasgow — 2026-06-12
  [Take That - Circus Live - Summer 2026 - Standing] @ Glasgow Hampden Park Stadium, Glasgow — 2026-06-13
  [MANILOW] @ Leeds First Direct Arena, Leeds — 2026-06-11
  [Femi Kuti & The Positive Force] @ Leeds University Stylus Nightclub, Leeds — 2026-04-25
  [Marla Kether] @ Leeds University Stylus Nightclub, Leeds — 2026-04-25
  [Celebrating Nat King Cole] @ Edinburgh Queens Hall, Edinburgh — 2026-06-27
  [Rumours of Fleetwood Mac 2026] @ Edinburgh Usher Hall, Edinburgh — 2026-07-05
  [Women's T20I Tri-Series - Scotland v Netherlands] @ The Grange Cricket Club, Edinburgh — 2026-05-28
  [Women's T20I Tri-Series Season Ticket - Scotland] @ The Grange Cricket Club, Edinburgh — 2026-05-28
  [Women's T20I Tri-Series Season Ticket - Netherlands] @ The Grange Cricket Club, Edinburgh — 2026-05-28
  [Women's T20I Tri-Series - Scotland v Bangladesh] @ The Grange Cricket Club, Edinburgh — 2026-05-30
  [Women's T20I Tri-Series Season Ticket - Bangladesh] @ The Grange Cricket Club, Edinburgh — 2026-05-30
  [Women's T20I Tri-Series - Bangladesh v Netherlands] @ The Grange Cricket Club, Edinburgh — 2026-05-31
  [Women's T20I Tri-Series - Scotland v Bangladesh] @ The Grange Cricket Club, Edinburgh — 2026-06-02
  [Women's T20I Tri-Series - Scotland v Netherlands] @ The Grange Cricket Club, Edinburgh — 2026-06-03
  [Women's T20I Tri-Series - Bangladesh v Netherlands] @ The Grange Cricket Club, Edinburgh — 2026-06-04
  [10cc] @ Brighton Dome, Brighton — 2026-06-30
  [John Robb: Punk Rock Ruined My Life] @ Brighton Komedia, Brighton — 2026-06-04
  [Jane Eyre] @ Brighton Little Theatre, Brighton — 2026-05-09
  [Jane Eyre] @ Brighton Little Theatre, Brighton — 2026-05-09
  [Jane Eyre] @ Brighton Little Theatre, Brighton — 2026-05-10
  [Jane Eyre] @ Brighton Little Theatre, Brighton — 2026-05-12
  [Jane Eyre] @ Brighton Little Theatre, Brighton — 2026-05-13
  [Jane Eyre] @ Brighton Little Theatre, Brighton — 2026-05-14
  [Jane Eyre] @ Brighton Little Theatre, Brighton — 2026-05-15
  [Jane Eyre] @ Brighton Little Theatre, Brighton — 2026-05-16
  [Jane Eyre] @ Brighton Little Theatre, Brighton — 2026-05-16
  [Dead Ringer] @ Brighton Little Theatre, Brighton — 2026-09-22
  [Dead Ringer] @ Brighton Little Theatre, Brighton — 2026-09-23
  [Dead Ringer] @ Brighton Little Theatre, Brighton — 2026-09-24
  [Dead Ringer] @ Brighton Little Theatre, Brighton — 2026-09-25
  [Dead Ringer] @ Brighton Little Theatre, Brighton — 2026-09-26
  [Dead Ringer] @ Brighton Little Theatre, Brighton — 2026-09-26
  [Swing That Music with The Down for the Count All-Stars] @ Brighton Open Air Theatre, brighton — 2026-09-20
  [Just Jovi - The Premier Bon Jovi Experience] @ Newgate Social, Newcastle upon Tyne — 2026-08-01
  [Morderstein - The Ultimate Rammstein Tribute] @ Newgate Social, Newcastle upon Tyne — 2026-09-11
  [Amongst Liars] @ Newgate Social, Newcastle upon Tyne — 2026-09-18
  [Justin Hayward] @ Newcastle Tyne Theatre & Opera House, Newcastle Upon Tyne — 2026-10-18
  [In the Park Newcastle presents Lewis Capaldi] @ Newcastle Exhibition Park, Newcastle upon Tyne — 2026-07-08
  [In the Park Newcastle presents Lewis Capaldi] @ Newcastle Exhibition Park, Newcastle upon Tyne — 2026-07-09
  [In the Park Newcastle presents Paul Weller] @ Newcastle Exhibition Park, Newcastle upon Tyne — 2026-07-10
  [In the Park Newcastle presents Wolf Alice] @ Newcastle Exhibition Park, Newcastle upon Tyne — 2026-07-12
  [Rumours of Fleetwood Mac 2026] @ Gateshead The Glasshouse, Gateshead — 2026-04-25
  [Rumours of Fleetwood Mac 2026] @ Gateshead The Glasshouse, Gateshead — 2026-04-26
  [What the World Needs Now - The Burt Bacharach Songbook] @ Gateshead The Glasshouse, Gateshead — 2026-10-10
  [On the Waterfront presents Paul Weller] @ Liverpool Pier Head, Liverpool — 2026-06-18
  [On the Waterfront presents Red Rum Club] @ Liverpool Pier Head, Liverpool — 2026-06-19
  [On The Waterfront presents 10 Years of Cream Classical] @ Liverpool Pier Head, Liverpool — 2026-06-20
  [On the Waterfront presents Snow Patrol] @ Liverpool Pier Head, Liverpool — 2026-06-21
  [John Robb: Punk Rock Ruined My Life] @ Liverpool Philharmonic Hall, Liverpool — 2026-05-23
  [Jools Holland And His Rhythm & Blues Orchestra] @ Liverpool Philharmonic Hall, Liverpool — 2026-06-12
  [Rumours of Fleetwood Mac 2026] @ Liverpool Philharmonic Hall, Liverpool — 2026-09-12
  [Rumours of Fleetwood Mac 2026] @ Liverpool Philharmonic Hall, Liverpool — 2026-09-12
  [What the World Needs Now - The Burt Bacharach Songbook] @ Liverpool Philharmonic Hall, Liverpool — 2026-10-07
  [Y2K Collective w/ Stanton Warriors] @ 24 Kitchen Street, Liverpool — 2026-07-04
  [Y2K Reunion] @ 24 Kitchen St, Liverpool — 2026-10-03
  [MANILOW] @ M&S Bank Arena Liverpool, Liverpool — 2026-06-13
  [The Temptations and The Four Tops] @ M&S Bank Arena Liverpool, Liverpool — 2026-06-30
  [Rumours of Fleetwood Mac 2026] @ Sheffield City Hall, Sheffield — 2026-05-26
  [Dr. John Cooper Clarke and Special Guests] @ Sheffield City Hall, Sheffield — 2026-10-17
  [Rumours of Fleetwood Mac 2026] @ Nottingham Royal Concert Hall, Nottingham — 2026-06-26
  [African Head Charge] @ Metronome, Nottingham, Nottingham — 2026-05-01
  [John Robb: Punk Rock Ruined My Life] @ Metronome, Nottingham, Nottingham — 2026-05-29
  [Take That - Circus Live - Summer 2026 - Standing] @ Cardiff Principality Stadium, Cardiff — 2026-06-16
  [Rumours of Fleetwood Mac 2026] @ Cardiff New Theatre, Cardiff — 2026-06-21
  [10cc] @ Cardiff New Theatre, Cardiff — 2026-06-29
  [MANILOW] @ Utilita Arena Cardiff, Cardiff — 2026-06-14
  [Rumours of Fleetwood Mac 2026] @ Aberdeen Music Hall, Aberdeen — 2026-05-18
  [Rumours of Fleetwood Mac 2026] @ Aberdeen Music Hall, Aberdeen — 2026-05-19
  [Rumours of Fleetwood Mac 2026] @ Dundee Caird Hall, Dundee — 2026-05-13
  [Brian Bilston: How to Lay an Egg with a Horse Inside] @ Norwich St Andrews Hall, Norwich — 2026-10-09
